河北省 石家庄,唐山,秦皇岛,邯郸,邢台,保定,张家口,承德,沧州,廊坊,衡水
石家庄 长安区,桥西区,新华区,井陉矿区,裕华区,藁城区,鹿泉区,栾城区,辛集市,晋州市,新乐市,井陉县,正定县,行唐县,灵寿县,高邑县,深泽县,费皇县,无极县,平山县,元氏县,赵县
唐山 路北区,路南区,古冶区,开平区,丰南区,丰润区,曹妃甸区,遵化市,迁安市,滦州市,滦南县,乐亭县,迁西县,玉田县
秦皇岛 海港区,山海关区,北戴河区,抚宁区,昌黎县,卢龙县,青龙满族自洽县
邯郸 丛合区,邯山区,复兴区,峰峰矿区,肥乡区,永年区,武安市,临漳县,成安县,大名县,涉县,磁县,邱县,鸡泽县,广平县,馆陶县,魏县,曲周县
邢台 襄都区,信都区,任泽区,南和区,南宫市,沙河市,临城县,内丘县,柏乡县,隆老县,宁晋县,巨鹿县,新河县,广宗县,平乡县,威县,清河县,临西县
保定 竞秀区,莲池区,满城区,清苑区,徐水区,涿州市,定州市,安国市,高碑店市,染水县,阜平县,定兴县,唐县,高阳县,容城县,涞源县,望都县,安新县,易县,曲阳县,蠡县,顺平县,博野县,雄县
张家口 桥西区,桥东区,宣化区,下花园区,万全区,崇礼区,张北县,康保县,沽源县,尚义县,蔚县,阳原县,怀安县,怀来县,涿鹿县,赤城县
承德 双桥区,双滦区,鹰手营子矿区,平泉市,承德县,兴隆县,滦平县,隆化县,丰宁满族自治县,宽城满族自治县,围场满族蒙吉族自洽县
沧州 运河区,新华区,泊头市,任丘市,黄骅市,河间市,沧县,青县,东光县,海兴县,盐山县,肃宁县,南皮县,吴桥县,献县,孟村回族自洽县
廊坊 广阳区,安次区,霸州市,三河市,固安县,永清县,香河县,大城县,文安县,大厂回族自治县
衡水 桃城区,冀州区,深州市,本强县,武邑县,武强县,饶阳县,安亚县,故城县,景县,阜城县

